Ps,Fd,Wv,Wn,Wd1,Tv,actuator_damping,actuator_force,angular_disp,current,load_flow,load_pressure,orifice_flow,spool_physical_disp,fault
220000000,3,940,224,627,0.5,2104.511569,-114.9849219,0.2635142828,-0.3860285899,-3.30E-05,973349.6318,-5.30E-05,-1.54E-05,yes
220000000,3,940,224,627,0.5,2629.052654,-126.781653,0.2159656964,-0.4314247921,-4.05E-05,1224203.034,-5.94E-05,-1.72E-05,yes
220000000,3,940,224,627,0.5,4530.720304,-136.9724025,0.1635689689,-0.4677640253,-6.86E-05,2149583.122,-6.46E-05,-1.87E-05,yes
220000000,3,940,224,627,0.5,6014.156854,-143.2032387,0.1074923444,-0.4928553337,-8.96E-05,2872286.504,-6.83E-05,-1.97E-05,yes
220000000,3,940,224,627,0.5,6037.872759,-145.6474595,0.04899950336,-0.5063862501,-8.85E-05,2882693.395,-7.04E-05,-2.03E-05,yes
220000000,3,940,224,627,0.5,4920.485911,-145.5806125,-0.01058952286,-0.5090797553,-7.10E-05,2336059.344,-7.08E-05,-2.04E-05,yes
220000000,3,940,224,627,0.5,3773.216752,-142.7474827,-0.06993546674,-0.5014347512,-5.36E-05,1776159.134,-6.96E-05,-2.01E-05,yes
220000000,3,940,224,627,0.5,4103.958506,-137.1392607,-0.127709242,-0.4834162783,-5.74E-05,1940713.916,-6.70E-05,-1.94E-05,yes
220000000,3,940,224,627,0.5,4720.851462,-128.6548876,-0.1826172117,-0.4548249156,-6.50E-05,2246671.514,-6.28E-05,-1.82E-05,yes
220000000,3,940,224,627,0.5,4745.199749,-115.9958029,-0.2334291258,-0.4153606685,-6.43E-05,2264776.882,-5.74E-05,-1.66E-05,yes
220000000,3,940,224,627,0.5,3809.492376,-98.15940168,-0.2789975533,-0.3667969256,-5.09E-05,1815720.633,-5.06E-05,-1.47E-05,yes
220000000,3,940,224,627,0.5,2117.481518,-84.22067567,-0.3182978217,-0.3106887469,-2.79E-05,994746.0089,-4.24E-05,-1.24E-05,yes
220000000,3,940,224,627,0.5,1154.29014,-65.9290465,-0.3504488464,-0.2480714907,-1.50E-05,532466.2884,-3.35E-05,-9.94E-06,yes
220000000,3,940,224,627,0.5,947.7156768,-46.29579954,-0.374730185,-0.1802142542,-1.21E-05,441007.7677,-2.38E-05,-7.23E-06,yes
220000000,3,940,224,627,0.5,967.9145681,-25.73745251,-0.390598145,-0.1081981024,-1.22E-05,460947.7082,-1.36E-05,-4.34E-06,yes
220000000,3,940,224,627,0.5,288.2769429,-4.194197576,-0.397699567,-0.03332732141,-3.59E-06,138983.7306,-3.13E-06,-1.35E-06,yes
220000000,3,940,224,627,0.5,-1692.675437,20.11755698,-0.3960166151,0.06668195998,2.08E-05,-818276.8494,7.59E-06,2.64E-06,yes
220000000,3,940,224,627,0.5,-2579.073122,38.73192066,-0.3852119908,0.1402154987,3.12E-05,-1242828.376,1.81E-05,5.59E-06,yes
220000000,3,940,224,627,0.5,-6145.702544,58.80033906,-0.3657962487,0.2104180021,7.35E-05,-2977936.5,2.80E-05,8.40E-06,yes
220000000,3,940,224,627,0.5,-5779.29237,77.2591396,-0.33818519,0.2762724689,6.82E-05,-2789644.437,3.76E-05,1.10E-05,yes
220000000,3,940,224,627,0.5,-3676.457345,94.19828926,-0.3029823422,0.3352994986,4.28E-05,-1752572.924,4.58E-05,1.34E-05,yes
